article_id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index,wikidata_id,name_de,description_en,description_de
14627,Isaac Newton,Male,1642,Woolsthorpe-by-Colsterworth,,United Kingdom,Europe,52.80986,-0.62877,Physicist,Natural Sciences,Science & Technology,191,59909049,313660,30.2889,Q935,Isaac Newton,English mathematician and physicist (1642-1727),englischer Naturforscher und Verwaltungsbeamter
736,Albert Einstein,Male,1879,Ulm,,Germany,Europe,48.4,9.98333,Physicist,Natural Sciences,Science & Technology,166,89771090,540790,30.2106,Q937,Albert Einstein,german-born theoretical physicist (1879–1955),"theoretischer Physiker (1879–1955); Entwickler der Relativitätstheorie, Nobelpreis für Physik 1922"
5635,Christopher Columbus,Male,1451,Genoa,,Italy,Europe,44.41111,8.93278,Explorer,Explorers,Exploration,153,58442090,381974,30.1753,Q7322,Christoph Kolumbus,"Italian navigator, explorer, and colonist (1451–1506)",Seefahrer aus Genua in spanischen Diensten († 1506)
9906294,Johann Sebastian Bach,Male,1685,Eisenach,,Germany,Europe,50.97611,10.32056,Composer,Music,Arts,144,29753654,206623,30.1672,Q1339,Johann Sebastian Bach,German composer (1685–1750),deutscher Komponist des Barocks (1685–1750)
8169,Dante Alighieri,Male,1265,Florence,,Italy,Europe,43.78333,11.25,Writer,Language,Humanities,137,20540747,149932,30.1496,Q1067,Dante Alighieri,"Florentine poet, writer, and philosopher (c. 1265–1321)",florentinischer Dichter und Philosoph (1265–1321)
17914,Ludwig van Beethoven,Male,1770,Bonn,,Germany,Europe,50.73399,7.09981,Composer,Music,Arts,153,48132344,314590,30.1093,Q255,Ludwig van Beethoven,German composer (1770-1827),deutscher Komponist (1770–1827)
3395,Gautama Buddha,Male,-563,Lumbini,,Nepal,Asia,27.53333,83.05,Philosopher,Philosophy,Humanities,124,23685332,191011,30.0418,Q9441,Siddhartha Gautama,Indian philosopher and the founder of Buddhism (623 or 563 BCE – 543 or 483 BCE),"historischer Buddha, spirituelle Person im Buddhismus"
60827,Cleopatra VII of Egypt,Female,-69,Alexandria,,Egypt,Africa,31.2,29.91667,Politician,Government,Institutions,100,18849501,188495,30.0367,Q635,Kleopatra VII.,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE,letzte Königin des ägyptischen Ptolemäerreiches und letzter weiblicher Pharao
7567080,Martin Luther,Male,1483,Eisleben,,Germany,Europe,51.51667,11.55,Religious Figure,Religion,Institutions,125,35167994,281344,30.0311,Q9554,Martin Luther,German priest and theologian (1483–1546),"deutscher Theologe, Autor und Urheber der Reformation"
29688374,Galileo Galilei,Male,1564,Pisa,,Italy,Europe,43.71667,10.4,Astronomer,Natural Sciences,Science & Technology,146,48254299,330509,29.96,Q307,Galileo Galilei,Italian polymath (1564-1642),"italienischer Philosoph, Mathematiker, Physiker und Astronom (1564–1642)"
13574,Herodotus,Male,-484,Halicarnassus,,Turkey,Asia,37.03778,27.42417,Historian,History,Humanities,103,9703065,94205,29.9592,Q26825,Herodot,Greek historian and geographer (c.484–c.425 BC),"antiker griechischer Geschichtsschreiber, Geograph und Völkerkundler"
24140,Paul of Tarsus,Male,5,Tarsus,,Turkey,Asia,36.91667,34.89556,Religious Figure,Religion,Institutions,100,15781652,157817,29.8889,Q9200,Paulus von Tarsus,Early Christian apostle and missionary (c. AD 5 – c. 64/65),Apostel und Missionar des Christentums
2030,Augustine of Hippo,Male,354,Souk Ahras,,Algeria,Africa,,,Philosopher,Philosophy,Humanities,105,17433781,166036,29.8872,Q8018,Augustinus von Hippo,"Christian theologian, philosopher, and saint (354–430)","lateinischer Kirchenlehrer der Spätantike, Heiliger"
